,Unnamed: 0,TweetId,UserId,UserUsername,Date,Location,Tweet,Media,Likes,Retweets,Comments,Polarity,Sentiment
11,11,1739627002057912737,1021115598821085185,Lurguball,2023-12-26 12:39:32+00:00,"Alfortville, France",tel fait shopping quil rest seul centim compt ptinn,"Media(photos=[], videos=[], animated=[])",0,0,0,-0.1,Negative
12,12,1739008833685516775,1604756153170382850,bidfburundi,2023-12-24 19:43:09+00:00,Gitega,banqu dinvest développ femm souhait joyeux meilleur vœux bidf ambiti vis plus loin,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GCIzTdqXcAAUCGx.jpg')], videos=[], animated=[])",3,1,0,0.41,Positive
13,13,1738604413307023760,1170988922463277056,Snb_CFE_CGC,2023-12-23 16:56:08+00:00,2 rue Scandicci 93500 Pantin,snbcfecgc souhait bon fêt bon anné ensembl continuon fair boug chos,"Media(photos=[], videos=[MediaVideo(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1738604320986214400/pu/img/ya_yUE-h-qdKEywa.jpg', variants=[MediaVideoVariant(contentType='video/mp4', bitrate=832000, url='https://video.twimg.com/ext_tw_video/1738604320986214400/pu/vid/avc1/640x360/NZ4mQ-VelirqK8Qe.mp4?tag=12'), MediaVideoVariant(contentType='video/mp4', bitrate=2176000, url='https://video.twimg.com/ext_tw_video/1738604320986214400/pu/vid/avc1/1280x720/wZqgRcb6xoAv6w2X.mp4?tag=12'), MediaVideoVariant(contentType='video/mp4', bitrate=256000, url='https://video.twimg.com/ext_tw_video/1738604320986214400/pu/vid/avc1/480x270/oKICcJ30YrltZqeF.mp4?tag=12')], duration=26826, views=None)], animated=[])",5,3,0,0.7,Positive
15,15,1738231257769636172,955703055231606784,__CAFFREY__USA,2023-12-22 16:13:21+00:00,I BEEN/AM=ONLY VICTIM/SURVIVOR,again still instor sit form sit,"Media(photos=[], videos=[], animated=[])",3,2,0,0.0,Neutral
18,18,1737741010476618077,194216855,charl3li,2023-12-21 07:45:17+00:00,France,comment bitcoin peut sauv dun cris économ,"Media(photos=[], videos=[], animated=[])",1,0,0,0.0,Neutral
19,19,1737560058727133437,1021115598821085185,Lurguball,2023-12-20 19:46:14+00:00,"Alfortville, France",cred mutuel ferm compt alor fois insult person fait foin heureux demain vais mettr pied plat,"Media(photos=[], videos=[], animated=[])",1,0,1,0.20999999999999996,Positive
20,20,1737547698742370326,3324772401,chyenfemyzik,2023-12-20 18:57:08+00:00,Fwi for French West Indies,quand veux ferm assurancev,"Media(photos=[], videos=[], animated=[])",0,0,0,0.0,Neutral
21,21,1737523951226532173,1443820370763657231,salitribule,2023-12-20 17:22:46+00:00,,allé banqu parent ferm leur assur crois conseil pass mauvais soir pourquoi besoin transmiss enfant pai aucun frais transmiss ahmais intérêt blablabl intérêt fond euro livret font mieux ahon compt term mettr largent parent besoin dispos immédiat disparaît fond restent disponibl nest compt term parc cest limit apres pouv prolong compt donc nest compt term cest vrai cest pend puis derni anné donc plus cest fait plus fait intérêt chaqu anné englobent ceux lann précédent donc fait plus sappel intérê compos trop compliqu parent puis compt couvert faillit blabl sérieux banqu français sav aujourdhui plus fiabl mettr argent banqu grecqu français connaiss défic target ouvr livret maman ferm fois fond reçus dispatch part égal entre livret parent chacun pourquoi fait peut tout mettr livret pap maman procur per déced procur march chacun acces liquid jusquà transmiss derni viv peut prendr mois racont tout form rapid bas financ accompagn ancien gestion proi facil conseil nest,"Media(photos=[], videos=[], animated=[])",15111,3364,528,0.0788888888888889,Positive
23,23,1737213013747261544,1435579147011694599,JPPeuka,2023-12-19 20:47:12+00:00,,obten rapport chiffr enfant lécol invit enseign matier dont sollicit suiv personnalis,"Media(photos=[], videos=[], animated=[])",0,0,0,0.0,Neutral
24,24,1737141092762472743,539172239,Benoit_Beyeler,2023-12-19 16:01:25+00:00,"Earth, Solar System",travail import intitul mœur commercial léminent philosoph spenc apres avoir decr tromper habituel limmoral bass commerc puis discut caus mepr quil inspirent tant person,"Media(photos=[], videos=[MediaVideo(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1737140979868581888/pu/img/pse8oIeL6exSXQar.jpg', variants=[MediaVideoVariant(contentType='video/mp4', bitrate=832000, url='https://video.twimg.com/ext_tw_video/1737140979868581888/pu/vid/avc1/640x360/BPi6tFvX2sWBLl15.mp4?tag=12'), MediaVideoVariant(contentType='video/mp4', bitrate=256000, url='https://video.twimg.com/ext_tw_video/1737140979868581888/pu/vid/avc1/480x270/L5EaMC-LWLIgJyae.mp4?tag=12'), MediaVideoVariant(contentType='video/mp4', bitrate=2176000, url='https://video.twimg.com/ext_tw_video/1737140979868581888/pu/vid/avc1/1280x720/7WEhU5rfV8tvFtay.mp4?tag=12')], duration=138061, views=None)], animated=[])",2,0,1,-0.025,Negative
25,25,1737124940925522045,712741624984571905,BUHhaiti,2023-12-19 14:57:14+00:00,,haït létrang banqu entier disposit,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GBuB7OPWMAA-YVM.jpg')], videos=[], animated=[])",2,0,4,0.15,Positive
26,26,1737122056666288309,2318563052,hamrouch_m,2023-12-19 14:45:47+00:00,"Rabat, Maroc",bank almaghrib maintient inchang taux directeur prévoit net baiss linflat communiqu almaghrib directeur,"Media(photos=[], videos=[], animated=[])",5,1,0,0.3,Positive
27,27,1737079578823098775,958311294486110209,expressunionfi1,2023-12-19 11:56:59+00:00,Cameroun,client decobank possibil dapprovision compt bancair tout simpliqu part guichet express union,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GBtYqAaWEAAsx55.jpg')], videos=[], animated=[])",0,0,0,0.22,Positive
28,28,1737050139150127313,80056423,RevueBanque,2023-12-19 10:00:00+00:00,Paris,banqui partenair privilégi guid client traver méandr planif carri façon dinstaur lien confianc audelà transact,"Media(photos=[], videos=[], animated=[])",0,1,0,0.0,Neutral
29,29,1736765993286840524,1170988922463277056,Snb_CFE_CGC,2023-12-18 15:10:55+00:00,2 rue Scandicci 93500 Pantin,enjeux sécur attract méti difficult recrut mauvais imag nombreux point commun existent entre emploi banqu,"Media(photos=[], videos=[MediaVideo(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1736765940195332096/pu/img/6BbjmSdf33MpAhlr.jpg', variants=[MediaVideoVariant(contentType='video/mp4', bitrate=632000, url='https://video.twimg.com/ext_tw_video/1736765940195332096/pu/vid/avc1/320x568/W3VupT6Lu23TYmPn.mp4?tag=12'), MediaVideoVariant(contentType='video/mp4', bitrate=950000, url='https://video.twimg.com/ext_tw_video/1736765940195332096/pu/vid/avc1/480x852/AaUx2VR7nAP7e2XW.mp4?tag=12'), MediaVideoVariant(contentType='video/mp4', bitrate=2176000, url='https://video.twimg.com/ext_tw_video/1736765940195332096/pu/vid/avc1/720x1280/xW2fQinDbD_aT0Cp.mp4?tag=12')], duration=42168, views=None)], animated=[])",1,0,0,-0.21,Negative
30,30,1736435589379940749,1400811054796582915,ActiverCarte,2023-12-17 17:18:00+00:00,France,ger compt money bank facil grâc lespac client,"Media(photos=[], videos=[], animated=[])",0,0,0,0.0,Neutral
31,31,1735622468650316058,1227930071006109696,Monika97972733,2023-12-15 11:26:57+00:00,,surv ver plac,"Media(photos=[], videos=[], animated=[])",1,1,0,0.0,Neutral
32,32,1735318640600223746,1393523429895200775,NFT_messager,2023-12-14 15:19:39+00:00,,fil dattent rendr banqu matin argentin,"Media(photos=[], videos=[MediaVideo(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1735318518399139840/pu/img/6JKTqHhkbYsCYdyK.jpg', variants=[MediaVideoVariant(contentType='video/mp4', bitrate=2176000, url='https://video.twimg.com/ext_tw_video/1735318518399139840/pu/vid/avc1/540x960/3GwUvoyzrlS_BrFA.mp4?tag=12'), MediaVideoVariant(contentType='video/mp4', bitrate=632000, url='https://video.twimg.com/ext_tw_video/1735318518399139840/pu/vid/avc1/320x568/TFDHfvRkZ_oJG_ZL.mp4?tag=12'), MediaVideoVariant(contentType='video/mp4', bitrate=950000, url='https://video.twimg.com/ext_tw_video/1735318518399139840/pu/vid/avc1/480x852/1pI1p1S00BtskPeV.mp4?tag=12')], duration=39933, views=None)], animated=[])",2,1,2,0.0,Neutral
33,33,1734966717510488104,1662461513431494659,SenegalBanking,2023-12-13 16:01:14+00:00,Dakar,bic cest toujour banqu,"Media(photos=[], videos=[], animated=[])",0,0,0,0.0,Neutral
34,34,1734934523953991699,1170988922463277056,Snb_CFE_CGC,2023-12-13 13:53:18+00:00,2 rue Scandicci 93500 Pantin,enjeux sécur attract difficult recrut mauvais imag nombreux point commun existent entre emploi banqu,"Media(photos=[], videos=[], animated=[])",1,0,0,-0.21,Negative
35,35,1734875810950255013,80056423,RevueBanque,2023-12-13 10:00:00+00:00,Paris,banqu détail manqu souffl doit trouv strateg diversifi secteur développ offre beyond audelà banqu object apport nouveau rel,"Media(photos=[], videos=[], animated=[])",1,1,0,0.34,Positive
36,36,1734303066642325755,1047590280210382867,hashdex,2023-12-11 20:04:07+00:00,,latest hash insid brazilian lend itau launch crypto trading societ général becom first list introduc cold storag tech asset mor,"Media(photos=[], videos=[], animated=[])",4,3,1,0.0,Neutral
37,37,1734151064100733345,80056423,RevueBanque,2023-12-11 10:00:07+00:00,Paris,proposit révis regl fait repris trilogu renforc transparent appliqu dit singl nam gsib européen nest solut,"Media(photos=[], videos=[], animated=[])",0,1,0,0.15,Positive
38,38,1733262141447164035,1664962626,Zakaria_KARDOU,2023-12-08 23:07:51+00:00,Paris,baiss dépôt banqu américain reven niveau plus depuis just apres,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GA3IuwdWQAAMwpu.jpg')], videos=[], animated=[])",0,0,0,0.11499999999999999,Positive
39,39,1733171100324975049,754593548192755713,CAFFREY_USA,2023-12-08 17:06:05+00:00,I'm the only #victim/#survivor,again,"Media(photos=[], videos=[], animated=[])",2,2,0,0.0,Neutral
40,40,1732881175772078382,1585783410643050496,Marocv_Economie,2023-12-07 21:54:02+00:00,Casablanca,bank almaghrib émet piec commémor anniversair déclar universel droit lhomm,"Media(photos=[], videos=[], animated=[])",0,0,0,0.185,Positive
42,42,1732678556583448904,3226127409,LetItShine69,2023-12-07 08:28:54+00:00,PDC,banqu jpmorgan jam dimon déclar quil annul cryptomonnai gouvern,"Media(photos=[], videos=[MediaVideo(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1732678304014970880/pu/img/elc-OocMgGe1Ldzf.jpg', variants=[MediaVideoVariant(contentType='video/mp4', bitrate=832000, url='https://video.twimg.com/ext_tw_video/1732678304014970880/pu/vid/avc1/640x360/Ni-DJapI1TsbfbMq.mp4?tag=12'), MediaVideoVariant(contentType='video/mp4', bitrate=2176000, url='https://video.twimg.com/ext_tw_video/1732678304014970880/pu/vid/avc1/1280x720/sbgPHr2fwuUHW6v2.mp4?tag=12'), MediaVideoVariant(contentType='video/mp4', bitrate=256000, url='https://video.twimg.com/ext_tw_video/1732678304014970880/pu/vid/avc1/480x270/TVh2o7vYNzlL0BB1.mp4?tag=12')], duration=28466, views=None)], animated=[])",6,6,0,0.0,Neutral
43,43,1732511577457209715,127831144,JonathanValette,2023-12-06 21:25:23+00:00,"Villemomble, France",plan sit parf fair économ achat lign point_rightessai vit,"Media(photos=[], videos=[], animated=[])",0,0,1,0.0,Neutral
44,44,1732422693591675204,381662334,MarilyneChenuet,2023-12-06 15:32:11+00:00,Région parisienne,grand banqu pourr invest argent lagricultur léchel industriel banqu investitel cruaut enver animal your investing animal cruelty,"Media(photos=[], videos=[], animated=[])",2,1,0,-0.0625,Negative
45,45,1732404135083843937,1716917364674154496,BankAnNou,2023-12-06 14:18:26+00:00,,lead secteur financierbank,"Media(photos=[], videos=[MediaVideo(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1732403995862269952/pu/img/wp0ImCJlsQnXXo98.jpg', variants=[MediaVideoVariant(contentType='video/mp4', bitrate=256000, url='https://video.twimg.com/ext_tw_video/1732403995862269952/pu/vid/avc1/480x270/Mt5ORPwP7swOCZ5P.mp4?tag=12'), MediaVideoVariant(contentType='video/mp4', bitrate=832000, url='https://video.twimg.com/ext_tw_video/1732403995862269952/pu/vid/avc1/640x360/01L5jSJePhdgBduW.mp4?tag=12'), MediaVideoVariant(contentType='video/mp4', bitrate=2176000, url='https://video.twimg.com/ext_tw_video/1732403995862269952/pu/vid/avc1/1280x720/e5g32uR5E2_WgEYs.mp4?tag=12')], duration=12133, views=None)], animated=[])",1,0,1,0.0,Neutral
46,46,1732402911039332611,1021115598821085185,Lurguball,2023-12-06 14:13:35+00:00,"Alfortville, France",lexcus comport grav répréhensibl cest ceris gâteau jsuis sort menac,"Media(photos=[], videos=[], animated=[])",0,0,0,0.0,Neutral
47,47,1732109339845066788,1585783410643050496,Marocv_Economie,2023-12-05 18:47:02+00:00,Casablanca,attijariwaf bank schneid electric sassocient lefficac énerget,"Media(photos=[], videos=[], animated=[])",0,0,0,0.0,Neutral
49,49,1732076120252756202,1585783410643050496,Marocv_Economie,2023-12-05 16:35:02+00:00,Casablanca,barid bank barid cash sallient invest souten startup fintech maroc,"Media(photos=[], videos=[], animated=[])",0,0,0,0.0,Neutral
51,51,1732057922933317878,1731680484,Comptecreditcom,2023-12-05 15:22:43+00:00,Paris,ger facil compt orang bank lign acced tous servic bancair quelqu clic,"Media(photos=[], videos=[], animated=[])",0,0,0,0.22,Positive
52,52,1731688066635456666,1585783410643050496,Marocv_Economie,2023-12-04 14:53:02+00:00,Casablanca,startup fintech barid bank barid cash sun invest,"Media(photos=[], videos=[], animated=[])",0,0,0,0.0,Neutral
54,54,1731020192132562963,1559659787549397002,KarineLutbert,2023-12-02 18:39:09+00:00,,saisqu mhain,"Media(photos=[], videos=[], animated=[MediaAnimated(thumbnailUrl='https://pbs.twimg.com/tweet_video_thumb/GAXRrx5WoAAjUnf.jpg', videoUrl='https://video.twimg.com/tweet_video/GAXRrx5WoAAjUnf.mp4')])",0,0,1,0.0,Neutral
55,55,1731005552472228061,1559659787549397002,KarineLutbert,2023-12-02 17:40:58+00:00,,bref matt what cest clair infin milliard,"Media(photos=[], videos=[], animated=[])",0,0,1,0.18000000000000002,Positive
56,56,1730998991418966202,1598231390511931393,sioupatkonnen,2023-12-02 17:14:54+00:00,Haiti,plusieur million gourd disparus succursal gonaïv,"Media(photos=[], videos=[], animated=[])",0,1,0,-0.14,Negative
57,57,1730621089200431616,1503954109413613569,AgreesFr,2023-12-01 16:13:15+00:00,Marseille,profit accompagn personnalis réalis projet,"Media(photos=[], videos=[], animated=[])",0,0,0,0.0,Neutral
58,58,1730607946613370920,1585783410643050496,Marocv_Economie,2023-12-01 15:21:02+00:00,Casablanca,business meeting bank afric catalyseur linnov croissanc économ,"Media(photos=[], videos=[], animated=[])",0,0,0,0.0,Neutral
60,60,1730574727297773928,1585783410643050496,Marocv_Economie,2023-12-01 13:09:02+00:00,Casablanca,bank enregistr amélior,"Media(photos=[], videos=[], animated=[])",0,0,0,0.0,Neutral
62,62,1730572752912875864,1655883092085596161,AlanenParle,2023-12-01 13:01:11+00:00,,donc comprend bien aujourdhui bitcoin égal,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GAQ6u3_W0AEE2Rx.jpg'), MediaPhoto(url='https://pbs.twimg.com/media/GAQ6u37W0AApMPZ.jpg')], videos=[MediaVideo(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1730572733778415617/pu/img/kuI9QvHtRT2MZbKs.jpg', variants=[MediaVideoVariant(contentType='video/mp4', bitrate=832000, url='https://video.twimg.com/ext_tw_video/1730572733778415617/pu/vid/avc1/540x540/m36bAWYICSNrSUCt.mp4?tag=12'), MediaVideoVariant(contentType='video/mp4', bitrate=432000, url='https://video.twimg.com/ext_tw_video/1730572733778415617/pu/vid/avc1/320x320/O5KS_q_r0j4YK5_9.mp4?tag=12'), MediaVideoVariant(contentType='video/mp4', bitrate=1280000, url='https://video.twimg.com/ext_tw_video/1730572733778415617/pu/vid/avc1/720x720/jIp3ejxsG0mX3-lt.mp4?tag=12')], duration=12700, views=None)], animated=[])",2,0,0,0.1,Positive
63,63,1730527220295147942,80056423,RevueBanque,2023-12-01 10:00:15+00:00,Paris,leuropean money market institut emmi lanc octobr consult publiqu modif matériel pourr être apport méthodolog calcul linterview jeanlou schirmann lemm,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GAQRSd5W8AAmcSY.jpg')], videos=[], animated=[])",0,1,0,0.29,Positive
64,64,1730202509556244759,1445318158915624960,jeromecollectio,2023-11-30 12:29:58+00:00,MONTS,emirat arab unis sort nouveau billet dirham,"Media(photos=[], videos=[], animated=[])",0,0,0,0.22000000000000003,Positive
65,65,1729909313500803169,1274326362157809664,CACultUpdates,2023-11-29 17:04:55+00:00,India,foreign remitt docu charg part,"Media(photos=[], videos=[], animated=[])",2,1,0,0.0,Neutral
66,66,1729561574556524765,3371927663,denisolivierart,2023-11-28 18:03:07+00:00,"Bordeaux, Aquitaine",quai neuf simon veil bridg bordeau franc novemb print,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GACjFipbYAES569.jpg')], videos=[], animated=[])",1,0,0,0.15000000000000002,Positive
67,67,1729382110232707416,1485334437927784449,blfservices,2023-11-28 06:10:00+00:00,Auvergne,besoin vrai compt recommand cher offre servic adapt mastercard appli sit notif temp réel mois offert,"Media(photos=[], videos=[], animated=[])",2,1,0,0.013333333333333345,Positive
68,68,1729077607046484436,862259629820174336,shine_tools,2023-11-27 10:00:00+00:00,"Paris, France",chiffr semain entrepris dirig femm existent encor apres,"Media(photos=[], videos=[], animated=[])",5,2,0,0.0,Neutral
69,69,1728811220810215657,1021115598821085185,Lurguball,2023-11-26 16:21:29+00:00,"Alfortville, France",demain banqu enfin vais avoir enfin suit demand rest san répons fin papi intermin dordr dachat laiss gestion societ général,"Media(photos=[], videos=[], animated=[])",0,0,0,-0.05,Negative
70,70,1728690331154285046,1463350600737779714,kliktoko_id,2023-11-26 08:21:07+00:00,Indonesia,nitecor lampu camping lantern lumen lrplus,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/F_2Ksi2boAAK8Ek.jpg')], videos=[], animated=[])",0,0,0,0.0,Neutral
71,71,1728477093875630149,374611116,Mr_lamoureux,2023-11-25 18:13:47+00:00,"Orléans, France",zoom dézoom descur hôtel caiss dépargn amothiron glemair,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/F_zIvjmXgAAuL1w.jpg'), MediaPhoto(url='https://pbs.twimg.com/media/F_zIvy-XMAAOnwF.jpg'), MediaPhoto(url='https://pbs.twimg.com/media/F_zIwBWWEAA7VWU.jpg'), MediaPhoto(url='https://pbs.twimg.com/media/F_zIwbOXgAAWNKv.jpg')], videos=[], animated=[])",6,0,0,0.0,Neutral
72,72,1728464082989433006,1021115598821085185,Lurguball,2023-11-25 17:22:05+00:00,"Alfortville, France",rir quand rel pseudo lettr dexcus fait mar never cet mascarad orchestr servic client défens apais chos puis quitt lagenc,"Media(photos=[], videos=[], animated=[MediaAnimated(thumbnailUrl='https://pbs.twimg.com/tweet_video_thumb/F_y86l1asAAcUFY.jpg', videoUrl='https://video.twimg.com/tweet_video/F_y86l1asAAcUFY.mp4')])",0,0,0,0.0,Neutral
73,73,1728442062729822294,1307397988470456327,manwaar_khd,2023-11-25 15:54:35+00:00,"Islamabad, Pakistan",bollywood dialogu from mair pass hain balanc tumhar pass mair pass moy,"Media(photos=[], videos=[], animated=[])",1,0,0,0.0,Neutral
74,74,1728372467071426989,1585783410643050496,Marocv_Economie,2023-11-25 11:18:02+00:00,Casablanca,banqu bank obtient vis lammc introduct bours,"Media(photos=[], videos=[], animated=[])",0,0,0,0.0,Neutral
76,76,1728049336351859077,1585783410643050496,Marocv_Economie,2023-11-24 13:54:02+00:00,Casablanca,bank obtient lapprob lammc cotat bours casablanc,"Media(photos=[], videos=[], animated=[])",0,0,1,0.0,Neutral
78,78,1728013167354138950,3081356097,OmniaVeritasLtd,2023-11-24 11:30:18+00:00,,histoir banqu central lasserv lhuman,"Media(photos=[], videos=[], animated=[])",2,2,0,0.05,Positive
79,79,1727899975567167787,1680627237102538752,winglanc061,2023-11-24 04:00:31+00:00,"Longjumeau, France",tpmp magnif cet appliqu bravo,"Media(photos=[], videos=[MediaVideo(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1727899801046458368/pu/img/PIlHhr-pChW__R2Y.jpg', variants=[MediaVideoVariant(contentType='video/mp4', bitrate=632000, url='https://video.twimg.com/ext_tw_video/1727899801046458368/pu/vid/avc1/320x554/rdStuoxZOkrFewEI.mp4?tag=12'), MediaVideoVariant(contentType='video/mp4', bitrate=2176000, url='https://video.twimg.com/ext_tw_video/1727899801046458368/pu/vid/avc1/720x1250/4xZzyoi8SYftEIcI.mp4?tag=12'), MediaVideoVariant(contentType='video/mp4', bitrate=950000, url='https://video.twimg.com/ext_tw_video/1727899801046458368/pu/vid/avc1/480x832/GwFTFXPRMiwvjexy.mp4?tag=12')], duration=26271, views=None)], animated=[])",8,3,0,0.0,Neutral
80,80,1727768031743418577,1139972063656062983,forhw8ng,2023-11-23 19:16:13+00:00,#lovestay ,lhôtess lair mav parl savoir jall franc étudi cque fais turqu alor jall just music linvers,"Media(photos=[], videos=[], animated=[])",1,0,0,0.2,Positive
81,81,1727748855859712317,1585783410643050496,Marocv_Economie,2023-11-23 18:00:01+00:00,Casablanca,bank principal caractérist dévoil,"Media(photos=[], videos=[], animated=[])",0,0,0,0.1,Positive
83,83,1727252830434525338,759394145924444160,ekolo242mag,2023-11-22 09:09:00+00:00,"Brazzaville, Congo",publi mard octobr produit intérieur brut lafriqu devr atteindr milliard dollar prix cour contr milliard dollar nigeri,"Media(photos=[], videos=[], animated=[])",0,0,0,-0.07,Negative
84,84,1726983312659599446,1585783410643050496,Marocv_Economie,2023-11-21 15:18:02+00:00,Casablanca,attijariwaf bank renforc engag faveur léduc escp business school,"Media(photos=[], videos=[], animated=[])",0,0,0,0.0,Neutral
86,86,1726903280964640790,80056423,RevueBanque,2023-11-21 10:00:01+00:00,Paris,lappétent particuli croiss mati bénéfic pourt dun marg progress import synonym dun indispens impliqu,"Media(photos=[], videos=[], animated=[])",0,1,0,0.0,Neutral
87,87,1726581121867984902,1608490362753978372,MagLiber3,2023-11-20 12:39:52+00:00,,financ lâg arriv début chang récent interview banqu central néerlandais affirm avoir égalis réserv rapport cel autr pay zon euro hor deurop cel décis polit cris financi prix mont flech réserv officiel pourront être utilis souten nouvel étalonor selon déclar confirment jecr derni anné prépar banqu central nouvel étalonor international,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/F_YMYV6XUAAPQ2R.jpg')], videos=[], animated=[])",53,28,3,0.16428571428571428,Positive
88,88,1726541082522206472,80056423,RevueBanque,2023-11-20 10:00:46+00:00,Paris,méti laccueil rem question centralis certain tâch accroît segment exclut ceux moindr valeur fautil mis detr lhumain,"Media(photos=[], videos=[], animated=[])",0,1,0,0.29,Positive
89,89,1726534597973029146,759394145924444160,ekolo242mag,2023-11-20 09:35:00+00:00,"Brazzaville, Congo",connaiss societ publiqu plus endet brazzavill seul cumul det tout societ publiqu pay découvr,"Media(photos=[], videos=[], animated=[])",0,0,0,0.09000000000000001,Positive
90,90,1726322258619318481,226248351,laudive1978,2023-11-19 19:31:14+00:00,Kinshasa - Barumbu,bosal simpl analys attent pon,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/F_Ug7RqW0AAYK7X.jpg')], videos=[], animated=[])",67,9,12,0.0,Neutral
91,91,1725932868210245993,1563838930738462721,NewsPhilatelic,2023-11-18 17:43:56+00:00,France,banqu asiat développ,"Media(photos=[], videos=[], animated=[])",1,0,0,0.0,Neutral
92,92,1725598939188174906,1485652252002066437,MarocV_Com,2023-11-17 19:37:01+00:00,Royaume du Maroc,bank lintroduct bours approuv lassembl général,"Media(photos=[], videos=[], animated=[])",0,0,0,0.0,Neutral
93,93,1725527720719966583,1585783410643050496,Marocv_Economie,2023-11-17 14:54:02+00:00,Casablanca,bank résultat robust strateg diversif confirm,"Media(photos=[], videos=[], animated=[])",0,0,0,0.0,Neutral
