,commenterID,UserName,Date,Text,Sentiment,Polarity
9473,UCXOOrkjjicaYdg9FeJO9O5g,@Polishamz,2021-06-24 20:13:54+00:00,ahor quier sab pais pued viv banc central milei quier pais banc central,Neutral,0
9472,UCPW_Zhdk9Gi6ksSFdgfF7kw,@gottfriedfeder8748,2021-06-24 21:44:27+00:00,realment banc central brlos banc central unic razon exist brla centraliz deposit bancari llam banc quotcentralquot permit banc comercial multipl deud cad unid monetari emit central obvi unic emisor moned efect nacion banc central pertenec brtod banc central manten equilibri balanz comercial internacional amortiz mas monetari brla amortiz maquin industrial distribu cost bien produc period determin tiemp brper amortiz cas moned nacional banc central moned nacional bien produc nacion pued compr dich mas monetari devolu realiz produccion tribut imposit nacion deud entid oblig adquir nacion dolar estadounidens caus famos equilibri balanz comercial internacional impuest dol moned oblig comerci internacional brentonc balanz favor banc retien dolar entreg export pes cambi oficial reci emit aument volum mas monetari balanz contrari entonc volum dolar disminu pag import oblig banc retir equivalent pes circul pes devalu brpor pais prest internacional siempr realiz especul financier inversion industrial prest banc internacional bon tesor brest oblig endeud qued sec cuant vec escuch tristement celebr fras quotn mangoquot brcon sistem hac banc central realid endeud perpetu dolar american nacion deterior moned nacional valor trabaj product manten establ dol brse devalu moned salari ambos bren palabr trabaj nacion mund dol fortalez respald valor dol sol estabil econom eeuu bres realment obra arte punt vist usurer cuy ced central oper eeuu brpar entend prim lug ten entend tod recud imposit nacion estaf ciudadan brpor brpor nacion soberan pued hac frent gast administr ejerc señoreaj mas monetari explot honest empres servici public electr puert aeropuert corre comun explot recurs natural min yacimient rios mar bosqu eventualmet fund nuev industri logr ten deficit neces recaud impuest usar usufruct señoreaj manten gast public brpor recurs deb explot brpor derech territorial pertenec puebl conform nacion soberan bas territorial poblacion permanent gobiern centraliz client habit cautiv servici public braclar impuest encarec pag factur servici esencial fofor lech azuc elemental agu brel sistem financier graci interes diner logr enajen favor explotacin nacion encim cre deud deb pag ciudadan brcom pag brcon impuest brpor argentin rest mund diner puest interes plaz fij simil ahorr comun apen sirv sal empat poc diferent result coloc interes bancari barr carg imposit inflacion deberi exist just cre proces demor much dec traves interes diner brtod resum demuestr realid banc central herramient banc internacional banquer usurer internacional brla prueb direct deud dolar tod nacion mund banc internacional ciudadan mund pag impuest brreduc absurd usurer internacional dueñ fabric dolar banc comercail mund enter dueñ banc central mund form indirect otorg benefici añad ciudadan pag cost oper banc central usurer llev benefici brdeberi entonc preguntart vot ningun candidat polit pretend cambi evident sistem condicion econom nacion cultur evident recurs destin tribut cad diner usurer internacional brpor insist import ident enemig nacion soberan person institu muer cambi import realment mecan utiliz esquilm revel ciudadan clarid pued atac form direct usurer argument defens dificil pon evident activ criminal propi usurer brpd resum bcra vel ilusori ciudadan cre nacion emisor suministr diner nacion bres instrument banquer saqu nacion conviert product saque dolar retir bas oper internacional marc legal incomprens prest atencion brenlac youtub program radi gui not href much graci,Neutral,0
9471,UCPW_Zhdk9Gi6ksSFdgfF7kw,@gottfriedfeder8748,2021-06-24 21:45:12+00:00,verdader gobiern conjunt banc oper nacion gobiern internacional priv brel sistem bancari sistem gobiern pued funcion basic mod mod explot pais prim mund dueñ mayor part aparat product bien empres public mod explot oper baj tas interes brel prim mund saqu emprestit guerr prest reconstruccion adem bien desarroll parqu industrial objet geopolit mod saque cas aument progres descomunal tas interes mod saque oper arruin empres priv estatal enajen favor dueñ banc corpor brnosotr objet geopolit part plan evit tod cost desarroll industrial brcon pandemi quier saqu bien particular ciudadan mund dificult factur llev quiebr brun cos usur simpl vist obtencion cantid diner prestam cantid diner alquil bien repugn parasitari vist prestam podr dispon capital prest duracion prestam brper coeficient caj funcion sistem conviert verdader fabric diner prest diner cre sistem crecimient exponencial vist sol pens cuent brcu ciudadani dej estup pued estaf cambi brel camin guit demuestr falsed ideolog polit quoteconomistasquot brsi quer entend sistem bancari priv internacional ten pas pas pas cad billet sal imprent brel diner nac impent orden banc central brdesd imprent billet brde imprent tesor bcra tesor banc central brdel tesor bcra tesor divers sucursal banc comercial priv hac banc brlos banc realiz asient contabl encaj multiplic capital efect tesor veint vec brentr banc cre asient brno sol billet salg tesor bcra tesor algun banc comercial brest signif banc priv pon circul suministr diner nacion verdader respons inflacion brcubr tod cuent asient contabl otorg credit credit cobr interes respect bas monetari diner efect realment tesor entend pag deposit efect cobr bren definit diner efect guard tesor pas mont cuent client banc brpor motiv client decid retir ahorr efect banc pued hac frent demand gener corr bancari inmediat corralit brpor imprent bcra pued cubr semej demand efect form inmediat alla hic provoc hiperinfl brlas variabl tas interes encaj brel encaj estandariz planet promedi quier dec ofert monetari man banc comercial diner form asient contabl exist efec restant qued encaj atend demand diner efect client banc brest practic demuestr banc priv pon circul suministr diner nacion emit total form gratuit pag interes irrisori total brla diferent estabil monetari nacion desarroll subdesarroll tas intrer balanz pag internacional prim mund siempr favor tercer fuerz siempr matemat impos tod nacion balanz pag internacional favor brpor pag cobr divis internacional sald posit negat balanz pag internacional brutal estaf brla taz interes inest cicl alto porcentaj sencill banquer estan trabaj mod saque rob tas baj destrull sign monetari local inflacion mas monetari burbuj explot brus pes moned mart dol ariet bras saque nacion ciudadan form particul branex pregunt cuy respuest devel falsed sistem describ brpor banc comercial priv devuelv nunc capital interes adeud banc central financi brlo arreglari deficit realment cre problemit oper banc client brdevolv capital qued sol pes dispon banc ciudadan adem segu deb interes devuelv pued oper impos bres facil maner present sistem repugn engañ sol hac pregunt correct dueñ maquin hac billet endeud alac encim recaud impuest adem vaci anses dueñ maquin hac billet sac pap fueg comenz emit cuasimoned just period endeud brencim estaf descrit suficient banc comercial sobr quotb monetariaquot diner efect coloc interes brutal elev coloc pes letr liquidez banc central leliq sol devuelv capital prest sin prest porpi banc financi interes elev fij banquer licit brabrevi oper bcra brse emit bon tesor nacional dolar deud asum puebl argentin coloc inversor banquer dolar billet guard reserv valor bcra emit pes pes multiplic banc priv sistem descrit lueg part pes coloc propi central crec elevadisim interes final bac recompr dolar barat graci retras cambiar cre artificial propi banc central ahor entend banc central herramient banc priv saqu extra product saque divis enajen bien nacional favor camin bradem banc enajen bien riquez real moros mism sistem mand quiebr branex facil sab brsi nacion pag interes deposit bancari entonc funcion sistem reserv fraccion combin prestam interes pon man banc priv emision puest circul ofert monetari dich nacion bres simpl brmuchisim graci,Neutral,0
9470,UCPW_Zhdk9Gi6ksSFdgfF7kw,@gottfriedfeder8748,2021-06-24 21:46:57+00:00,realiz analisis correct polit monetari argentin ten empez consecuent posibil ofrec cad altern brlas consecuent polit monetari internacional deud extern laps tiemp escase diner circul disminu pod adquisit falt emple aument carg imposit bren resum crisis econom caus coctel situacion tod direct proporcional braument cost comerci caus aumuent impuest encim baj consum falt diner falt diner aument cost gran med aument impuest preci consumidor bres circul vicios brentonc anunci necesit prestam internacional falt diner armas barbar sab encar problem brsi busc lad honest perd tiemp nunc lleg verd bren realid prest internacional tom gobiern unic motiv brel convert dolar saque pes moned local pais realiz banc comercial oper dentr nacion brest circul vicios expancion mas monetari pes cre factor multipl bancari tas interes asoci mism produc devalu monetari banquer super aument tas interes limit banquer retard coloc excedent bas monetari leliqs propici gobiern retras cambiari forz gan carrer proces devalu moned tas interes determin volum saque rendimient factor multipl asient contabl bancari mas monetari real pes efect bres cicl repetit expans intens alta tas interes suav baj tas ocurr pais europe brpor motiv banc ofrec constant nuev form pag cuent neces toqu diner efect bas monetari quier ten siempr disposicion extend maxim duracion cad cicl distanci period estall hiperinfl mientr banquer calz dolar nacional pag vencimient interes deud extern brest ayud maniobr simpl restring ofert diner disminu consum fren aument preci inflacion preci consumidor braument disminu ofert monetari maner artificial aument baj altern tas interes facilit dificult credit comerci brest pued hac ofert diner man circul vicios sol banquer bres evident hech banc central entid sirv sol banquer brel banc central sol oper banc comercial reserv federal unid fond inversion brel dol sol otorg estabil econom ali recib prest baj tas justific diferent famos factor riesg pais brtod entidad financ mism dueñ sol objet rob legal riquez produc nacion industri comerci recurs natural suel brresum objet logr dueñ unic empleador planet quier disimul result cre decen mil institu legal empres multinacional veas tod riquez concentr mism man lad logr cre culpabl crisis econom gobi mism nacion defend elef blanc ineficient deshonest causant falt diner bolsill brpor anunci dias bomb platill maquin hac billet man defisitari gast produc brest afirm res minim analisis brporqu sum devalu moned emision administr estatal deficit emitiri diner necesit pag cost brel deficit emit sol pes enorm recaud imposit mit compr dolar pag part interes deud extern brentonc ten hac entend definit pod explic clarid brhac analisis reves brten plant sistem funcion bien evit estaf nacion propici econom servici aument riquez servici ciudadan brah clarid gobi conoc hac exact contrari sol explic corrupt pag dej estaf nacion brpar plant problem solucion sirv resolv tip problem brhay tres conden muert ten oportun salv tres muestr sombrer blanc tres negr brles vend ojos coloc sombrer negr cad retir blanc sobr brse coloc fil indi quit vend brsol tercer color primer segund obvi ningun propi sombrer brel pued deduc logic color sombrer ser indult intent adivin ser tortur morir lent agon insoport perjudic rest brentonc prim lug pregunt ultim fil numer tres color sombrer puest contest bral segund numer sol sombrer primer fil pregunt mism tip contest brentonc turn primer detr contest sombrer negr sup brcontinu respuest,Neutral,0
9469,UCPW_Zhdk9Gi6ksSFdgfF7kw,@gottfriedfeder8748,2021-06-24 21:48:00+00:00,ten menor ide realment banc central,Negative,-1
9468,UCj_llg_gm7HE9jlEZa009Fg,@JuanPablo-oj2ji,2021-06-25 01:15:14+00:00,funcion banc central manipul jod econom medi diner credit posterior echar culp libr comerci liberal quotdesregulacionquot liberal econom total contrari banc central gent cre principal polit progr liberal rob pobr enriquec ric lej realid much gent ide liberal sab propagand buen hic cre monstru,Neutral,0
9467,UCUAr1i0gkjkNa5fExWGelHQ,@JonathanMendezSesar,2021-06-25 08:35:18+00:00,sol coment vide simplific mund entiend sol matiz banc central regul entidad hac cnmv prest hac compr deud mism banc cambi much vec diner econom real probabl inflacion depend veloc diner demand credit veloc transaccional mism unid monetari much ocasion diner par inversion merc financier tampoc ciert competent cre emple cre entend ref ultim aunqu tampoc import dad intencion vide inflacion siempr gener crecimient economicoper buen buen vide igual esper acept critic construct pretend ridiculiz dañ hech salud,Neutral,0
9466,UCrHbsk7mvZmk7qRaSeimPuw,@untalcarlosporahi5727,2021-06-25 23:13:02+00:00,banc central diabl,Neutral,0
9465,UCUaj1L8Wkh0ZS9mEjSriS7A,@lokillolokito,2021-06-25 23:39:24+00:00,econom,Neutral,0
9464,UCvOEW15uWkbrJB2gJXStkNA,@danielcervantes1878,2021-06-26 05:15:30+00:00,econom dogmat teor ortodox practic pais dividend gener banc central mayor utiliz pag deud extern sol excedent utiliz financi desarroll siempr hech sol entid emisor receptor mism efect señoreaj gananci cobr banc central pesim negoci pues balanc posit urge modific darl verdader respald diner cuent razon casi cualqui activ product,Neutral,0
9463,UCPW_Zhdk9Gi6ksSFdgfF7kw,@gottfriedfeder8748,2021-06-26 08:49:06+00:00,dol estadounidens piedr angul mayor estaf tiemp reedit brel objet banc central priv eeuu domin economi tod nacion mund enajen bien produccion naicion fund pens domin propi nacion norteamerican banc comercial oper eeuu brla instrument domini internacional brlo demostr text tip diner realid represent trabaj pued bien represent diner pued emit puest circul señoreaj nacion grup banquer priv pued prostitu interes san tas interes brper esenci igual unic diferent intermediari diner nacion habit brla fortalez enemig talon aquil brmit dol respald papel pint valor entonc cambi dolar billet hoj papel higien brrealid respald enorm respald trabaj product eeuu comerci internacional brest moned coloc prestam interes casi mund interes recaud mediant gravam imposit activ product nacion cuestion siempr trabaj valor diner brlo ciert diner emit cost algun cost cost material man obra sistem oper tod infraestructur necesari funcion pag mism moned entid priv emit cost pag usuari planet brpor nacion entreg potest emit moned curs legal banquer entreg tod riquez nuev emision monetari pued compr moment entrar circul bien produc nacion trabaj ciudadan brsin trabaj exist ningun bien vend ningun riquez comerci recolect com manufactur herramient elemental diner sol serv perd razon valor monetari sencill conclu diner sol represent trabaj acuerd cantid diner existent nacion cantid bien produc poblacion diner valor real result simpl equivalent mas monetari bien servici ofert entonc problem brel problem dobl bren prim lug cuestion potest emision moned man priv man nacion soberan bren cas dol diner efect man priv reserv federal banc central priv norteamerican bren segund lug problem entra circul dich moned brtant priv estatal evident entrar circul traves credit intercambi bien servici brpor emision dich moned priv benefici dich accion ser banquer emisor emit benefici ser brest ten clar potest emit diner man banquer benefici banquer man benefici brest trat banquer corrupt honest trat corromp administr form honest brest indic clar nacion pued soberan potest emision puest circul moned curs legal condicion dirig sistem econom deb endeud sol ten diner circul muev econom endeud basic brestoy describ accion señoreaj diner aqu ten bien clar casi ningun pais mund pose potest emit moned curs legal form independient brel sistem monetari internacional priv tod nacion atad dol estadounidens eur cas europe siempr moned emit banc priv internacional condicion cual asoci acuerd bretton woods dig contrari dig acuerd estan vigent prueb gigantesc volum comerci internacional dolar inclu hidrocarbur bren cas argentin pon ejempl clar emit pes oblig adquir equivalent dolar moment emision moned nacional devalu respect dol exist balanz comercial internacional amortiz monetari tendient equilibr nacion brbuen excus realid estaf grand victim tod human brla imposicion sistem traves corrupcion fuerz evident analiz orig conflict belic cast polit cualqui nacion bren definit dol impuest fuerz respald trabaj product mund enter brentr econom nacion prestam recog frut produccion traves gravam imposit destin pag interes eventual capital dich deud mantien acept establ detriment moned nacional consecuent empobrec poblacion brno pod habl soberan recuper potest emision monetari pod habl moned soberan prohib interes brsi nacion emit propi moned nacional maner independient ejerc señoreaj entonc deb endeud sol exist diner circul emit diner form independient permit prestam interes ser cuestion tiemp ocurr cos nefast brcontinu respuest,Neutral,0
9462,UCtLKXAlYtJjoh_mY4_L66EA,@carlosnieves2320,2021-06-26 21:20:01+00:00,tres objet mencion pong comill banc central diabl disfraz institucional,Neutral,0
9461,UCfY3avo0W0EwATG5640Z1gw,@ionc1501,2021-06-27 08:08:36+00:00,enhorabuen nuev canal aprend muchisim,Positive,1
9460,UCH2rmB3AY9zYzJegIjLd3sQ,@baulitolitolitolitol,2021-06-27 09:03:16+00:00,siempr buen vide sol pregunt entend reserv federal estadounidens banc central britan empres priv nobrbrpor public regul hac expens interes empresasbrbrm equivoc,Neutral,0
9459,UCNF58l_7gcMiMKfYD6Vw4KA,@teodm978,2021-06-28 21:29:35+00:00,hazt econom argentin aunqu sol vide alcanz,Neutral,0
9458,UC3YiUCvk3cRc_z5jZdwrXGQ,@carlosmaxi8984,2021-06-29 13:42:43+00:00,cre concept tas interes abord form aisladabrel credit pued gener banc depend tas interes sin coeficient caj exig polit monetari depend liquidez bancosbrsi banc central permit banc comercial otorg credit caj sol manten reserv signif banc central induc banc priv reduc liquidez negoci emision creditosbrest obvi ningun incent manten deposit reserv banc central permit hac negoci diner client motiv banc comercial perd total prudenci emision credit cas algun insolvent banc central siempr prest rescat emision monetariabrahor prohib hac negoci diner deposit caj ahorr elimin cualqui neces segu ampli mas monetari elimin inflacion banc sol gan diner sector finanz otorg credit sol diner client deposit finbres alimentari cautel banc otorg dich credit promov instint supervivent banquer forz asegur beneficiari credit invert diner form adecu futur exist capac repagobrper banc central dej garant permit banc quiebr gestion diner lament sol client banc pais enter,Neutral,0
9457,UCzMU9THFBWuydugZP09elfw,@PR-qp8iz,2021-07-01 08:51:53+00:00,banc central public,Neutral,0
9456,UC-BHYL7Qgt4vDjE6-i8rbPg,@mateocastaneda4232,2021-07-04 21:16:16+00:00,exelent vide pregunt aplic hac bien explic felicit,Positive,1
9455,UCA9GeWumADAv2jnBizMUFCA,@nolouso2000,2021-07-07 23:44:44+00:00,mir habl chorr dec inflacion mejor crecimient econom colm chorr econom dic unic funcion cre burbuj financ crecimient final sigl unid deflacion patron mayor crecimient econom histori pais,Neutral,0
9454,UCLtM5xdcC764DdrHxU6Q9Jw,@Bvjovies,2021-07-08 19:31:31+00:00,banc central,Neutral,0
9453,UCPvV1Ws0yFCRh6zWeK6wvEQ,@esclavodelsistema9783,2021-07-10 00:15:16+00:00,demoni tierr,Neutral,0
9451,UCL21oWdACmvfj5zpXtFyicw,@multimediayredes3553,2021-07-20 06:56:15+00:00,argentin gran caj politicabrcom caj anses anses pami pam etcbrmacri secuac hic estrag anses gobiern actual tod caj pod hic cajet econom ciudadan,Negative,-1
9450,UCL21oWdACmvfj5zpXtFyicw,@multimediayredes3553,2021-07-20 07:21:26+00:00,habl saberbr argentinabrqu banc centralbrr impresor sistem continu consum muuuch energ atasqu descalabr,Negative,-1
9449,UCAEkCi5JgOTGQigpwxD8_Nw,@nicolasmunoz4989,2021-07-28 18:19:32+00:00,graci vide pas decid abol banc central consecuent posit negat tra posibl algun pais hech,Neutral,0
9448,UCFZiu97Q0CHx3O2kGXr9fFg,@victorcastillo9015,2021-08-05 01:51:30+00:00,ojal pront habl botsuan,Neutral,0
9447,UCV0p2IWwjCfTks2nWBDO4hA,@JM-tq8eo,2021-08-17 13:57:12+00:00,pequeñ detall banc priv cobr interes inflacion deb moned respald eeuu petrole pais arab petrodol consum,Neutral,0
9403,UCRVi63ZWd8K8d3Lto39rdog,@capitanhotcake1378,2021-09-23 18:49:45+00:00,resum diner sol val cre val igual homeopati funcion cre funcion,Neutral,0
9402,UC6CMh-FwrK3Tj_2ptPucVVA,@rengamelinibeck,2021-09-23 18:57:39+00:00,har resum actualizsd evergrand crisis pued vecin encant conten,Neutral,0
9401,UC3n3xd5_QjvK72hndG6AIXw,@eduardouzhca1032,2021-09-23 19:19:10+00:00,exelent explic geni olvid mencion sangiguel estan imprim diner besti hac pierd valor god pud ahorr mierd sistem pued sosten tiemp sistem cay rat mayori gent sistem sol benefici delincuent control,Negative,-1
9400,UCTZdGBXZva_YynHq6tD0GvA,@99leunam,2021-09-23 19:19:17+00:00,amig rxcelent explicacionqu cad mejor sirvafel,Neutral,0
9399,UCreMmBNNQRVdS5VAsKELbGQ,@yayojja,2021-09-23 19:37:52+00:00,ojal conoc canal colegi,Neutral,0
9398,UC-U0SpFrq094vXMkEFJ5ung,@AaronGaJi,2021-09-23 19:49:17+00:00,basic caus principal inflacion mayor rob banc gobiern,Negative,-1
9397,UCwaBUErb-eeoev4XfZJRAWw,@sgrofranco,2021-09-23 20:05:38+00:00,banc simons solucion,Neutral,0
9396,UCoo0QOYXBCxpoJ_nEiRSp5Q,@urieldariosanchezs5292,2021-09-23 20:10:15+00:00,motor jajajajabrl mafi rqu estaf rob empobrec mund,Neutral,0
9394,UCSL620INtDa6M_1bnpAJLHA,@capitanpalizasorpresa9993,2021-09-23 20:56:31+00:00,trist histori esclavitud human deb diner nadi intent ten cas famili vacacion banc canc quit tiemp vid hac quier,Negative,-1
9392,UC-vM5KnUrma1gHrv_TtmdQw,@ctrlz1070,2021-09-23 21:34:29+00:00,dig aburridosbrl pib piens gros trabaj banc aunqu unic hag monitor cajer entren personal nuev dej par cuent grup frikis perfeccion,Negative,-1
9390,UChvtc7ft0ahfwMNQm4VPqog,@gladiovega6358,2021-09-23 21:36:10+00:00,coment comenrari,Neutral,0
9389,UCuEUp2weBKJ6eWU0dF0PMtQ,@juannunez4436,2021-09-23 22:23:08+00:00,increibl siempr,Neutral,0
